"87","19117","Air Carolina: ATX","AIRLINE_ID"
"88","19118","Air Vectors Airways: AVA","AIRLINE_ID"
"89","19119","Aero Virgin Islands Corp.: AVI","AIRLINE_ID"
"90","19120","Aviation Services: AVS","AIRLINE_ID"
"91","19121","Southern Jersey Airways: AVZ","AIRLINE_ID"
"92","19122","Business Aircraft Corp.: BAC","AIRLINE_ID"
"93","19123","Brennan & Hargreaves Inc.: BAH","AIRLINE_ID"
"94","19124","Bankair Inc.: BAK","AIRLINE_ID"
"95","19125","Bard-Air Corp.: BAR","AIRLINE_ID"
"96","19126","Baja Cortez Airlines: BCA","AIRLINE_ID"
"97","19127","Bennington Aviation Inc.: BEN","AIRLINE_ID"
"98","19128","Beyer Aviation: BEY","AIRLINE_ID"
"99","19129","Blackhawk Airways Inc.: BHK","AIRLINE_ID"
"100","19130","Bighorn Airways Inc.: BHO","AIRLINE_ID"
"101","19131","Birchwood Air Service: BIR","AIRLINE_ID"
"102","19132","Bremerton Aviation Inc.: BMT","AIRLINE_ID"
"103","19133","Boise Air Service: BOA","AIRLINE_ID"
"104","19134","Brower Airways Inc.: BRO","AIRLINE_ID"
"105","19135","Burlington Airways Inc.: BUR","AIRLINE_ID"
"106","19136","Coleman Air Transport: CAC","AIRLINE_ID"
"107","19137","Crawford Aviation Inc.: CAI","AIRLINE_ID"
"108","19138","C & M Airlines: CAM","AIRLINE_ID"
"109","19139","Metro Air Northeast N Y: CAP","AIRLINE_ID"
"110","19140","Catalina Airlines Inc.: CAT","AIRLINE_ID"
"111","19141","Air Virginia: CAV","AIRLINE_ID"
"112","19142","Carriba Air Inc.: CBA","AIRLINE_ID"
"113","19143","Cen-Tex Airlines Inc.: CEN","AIRLINE_ID"
"114","19144","Century Airlines (Cal): CET","AIRLINE_ID"
"115","19145","Chandler Flyer: CHD","AIRLINE_ID"
"116","19146","Charter Airlines: CHE","AIRLINE_ID"
"117","19147","Hammonds Commuter Air Serv.: CHF","AIRLINE_ID"
"118","19148","Choi Aviation Inc.: CHO","AIRLINE_ID"
"119","19149","Christman Air System: CHS","AIRLINE_ID"
"120","19150","Cal Sierra Airlines: CIS","AIRLINE_ID"
"121","19151","Centennial Airlines: CNN","AIRLINE_ID"
"122","19152","Cotton Belt Aviation Inc.: COB","AIRLINE_ID"
"123","19153","Coker Aviation Inc.: COK","AIRLINE_ID"
"124","19154","Commutair: COM","AIRLINE_ID"
"125","19155","Coral Air Inc.: COR","AIRLINE_ID"
"126","19156","Cosmopolitan Comm. Airline: COS","AIRLINE_ID"
"127","19157","Southeastern Commuter: COT","AIRLINE_ID"
"128","19158","Courtesy Air Service Inc.: COU","AIRLINE_ID"
"129","19159","Capitol Air Lines: CPA","AIRLINE_ID"
"130","19160","Coastal Plains Commuter Inc.: CPC","AIRLINE_ID"
"131","19161","Commuter Airlines: CRA","AIRLINE_ID"
"132","19162","Crown Aviaiton Inc.: CRN","AIRLINE_ID"
"133","19163","Crown Airways Inc.: CRO","AIRLINE_ID"
"134","19164","Crested Butte Air Service: CRT","AIRLINE_ID"
"135","19165","Catskill Airways Inc.: CSK","AIRLINE_ID"
"136","19166","Century Airlines: CTA","AIRLINE_ID"
"137","19167","Cothron Aviation: CTH","AIRLINE_ID"
"138","19168","Catalina-Vegas Airlines: CVA","AIRLINE_ID"
"139","19169","Danbury Airlines: DAN","AIRLINE_ID"
"140","19170","Downeast Airlines Inc.: DEA","AIRLINE_ID"
"141","19171","Decatur Aviation: DEC","AIRLINE_ID"
"142","19172","DHL Airlines Inc.: DHL","AIRLINE_ID"
"143","19173","Dickman Aviation Services: DIC","AIRLINE_ID"
"144","19174","Desert Pacific Airways: DPA","AIRLINE_ID"
"145","19175","Desert Pacific Airlines Inc.: DPI","AIRLINE_ID"
"146","19176","Desert Airlines: DST","AIRLINE_ID"
"147","19177","Executive Aviation Inc.: EAI","AIRLINE_ID"
"148","19178","Eastern Caribbean Airways: EAS","AIRLINE_ID"
"149","19179","Eastern Carolina Aviation: ECI","AIRLINE_ID"
"150","19180","Ede Aire: EDE","AIRLINE_ID"
"151","19181","Executive Four Winds: EFA","AIRLINE_ID"
"152","19182","Eagle Commuter Airlines Inc.: EGL","AIRLINE_ID"
"153","19183","East Hampton Aire Inc.: EHA","AIRLINE_ID"
"154","19184","East. Indiana Aviation Sale: EIA","AIRLINE_ID"
"155","19185","Air Pacific Inc.: EKA","AIRLINE_ID"
"156","19186","Erie Airways Inc.: ERI","AIRLINE_ID"
"157","19187","Empire Aero Service: ERO","AIRLINE_ID"
"158","19188","Evanston Aviation: EVA","AIRLINE_ID"
"159","19189","Federal Armored Service Inc.: FAR","AIRLINE_ID"
"160","19190","Young Flying Service: FBI","AIRLINE_ID"
"161","19191","Southern Airlines Inc.: FCA","AIRLINE_ID"
"162","19192","Florida Airlines Inc.: FDA","AIRLINE_ID"
"163","19193","Freedom Airlines Inc.: FDM","AIRLINE_ID"
"164","19194","Flamenco Airways Inc.: FLM","AIRLINE_ID"
"165","19195","Ford-Aire Inc.: FOR","AIRLINE_ID"
"166","19196","Foster Aviation: FOS","AIRLINE_ID"
"167","19197","Skycraft Inc.: FVA","AIRLINE_ID"
"168","19198","Far West Airlines: FWA","AIRLINE_ID"
"169","19199","General Aviation Inc.: GAS","AIRLINE_ID"
"170","19200","Gromer Aviation Inc.: GAV","AIRLINE_ID"
"171","19201","Central States Airline: GBA","AIRLINE_ID"
"172","19202","Golden Carriage Aire: GCA","AIRLINE_ID"
"173","19203","Midway Commuter: GCS","AIRLINE_ID"
"174","19204","Green Hills Aviation Ltd.: GHA","AIRLINE_ID"
"175","19205","Green Mountain Airlines Ltd.: GMA","AIRLINE_ID"
"176","19206","Copper State Airlines: GOF","AIRLINE_ID"
"177","19207","Isle Royale Seaplane Serv.: GRO","AIRLINE_ID"
